Bauwerks-Nr.:;Bauwerksname:;Ort:;Teilbauwerks-Nr.:;Teilbauwerksname:;Bauwersart:;Bauwerkskonstruktion:;Baujahr:;Fäche:               [m²];Anderes Bauwerk nach DIN 1076:
S015;Dorfstraße;Hahn;B;Stützwand Naturstein;Stützwand als Massivwand;Naturstein-Stützwand;;15;Ja
S016;Treppenanlage zur Bergkirche;Kornelimünster;;Stützwand / Treppe;Stützwand als Massivwand;Naturstein-Stützwand;;129;Nein
S017;Königsmühlenweg;Walheim;;Stützwand;Stützwand, Drahtgitterkörbe mit Steinfüllung (Gabione);Gabione;2011;19;Nein
S018;Kurpark Michaelsberg;Burtscheid;A;Stützwand / vorne alt;Stützwand als Massivwand;Ziegelstein-Stützwand;;100;Nein
S018;Kurpark Michaelsberg;Burtscheid;B;Stützwand / mitte neu;Stützwand als Massivwand;Stahlbeton-Stützwand;2010;36;Ja
S018;Kurpark Michaelsberg;Burtscheid;C;Stützwand / hinten alt;Stützwand als Massivwand;Ziegelstein-Stützwand;;80;Ja
S019;Krugenofen / Neustraße;Burtscheid;;Stützwand;Stützwand als Massivwand;Ziegelstein-Stützwand mit Natursteinverblendung;1984;5;Ja
S020;Kirche St. Adalbert am Kaiserplatz;Aachen;A;Stützwand / Auffahrt mit Treppe;Stützwand als Massivwand;Ziegelstein-Stützwand;;156;Nein
S020;Kirche St. Adalbert am Kaiserplatz;Aachen;B;Stützwand / Treppenaufgang West;Natursteinwand - statisch gesamtheitlich tragend;Schwergewichtswand, Treppe auf Ziegelstein-Gewölbe;;90;Nein
S020;Kirche St. Adalbert am Kaiserplatz;Aachen;C;Stützwand / Treppenaufgang Nord;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand mit Naturstein-Treppe;;159;Nein
S021;St.Gangolfsberg;Kornelimünster;;Stützwand;Stützwand als Massivwand;Stahlbeton;;46;Nein
S022;Inde / Hahner Straße;Hahn;A;Stützwand / von B041 nach B040;Stützwand als Massivwand;Naturstein-Stützwand;;307;Nein
S022;Inde / Hahner Straße;Hahn;B;Stützwand / von B040 nach B039;Stützwand als Massivwand;Naturstein-Stützwand;;142;Nein
S022;Inde / Hahner Straße;Hahn;C;Stützwand / von B039 nach B038;Stützwand als Massivwand;Naturstein-Stützwand;;164;Nein
S022;Inde / Hahner Straße;Hahn;D;Stützwand / von B038 nach B037;Stützwand als Massivwand;Naturstein-Stützwand;;239;Nein
S022;Inde / Hahner Straße;Hahn;E;Stützwand / von B037 nach B036;Stützwand als Massivwand;Naturstein-Stützwand;;52;Nein
S022;Inde / Hahner Straße;Hahn;F;Stützwand / von B036 bis Ende (geg. HS-Nr. 96);Stützwand als Massivwand;Naturstein-Stützwand;;90;Nein
S022;Inde / Hahner Straße;Hahn;G;Stützwand / von B038 bis B039;Stützwand als Massivwand;Naturstein-Stützwand;;143;Nein
S022;Inde / Hahner Straße;Hahn;H;Stützwand / an B040 gegenüber Haus-Nr. 43;Stützwand als Massivwand;Naturstein-Stützwand;;18;Nein
S023;Napoleonsberg / Am Berg;Kornelimünster;A;Stützwand / entlang den Häusern 2-14;Stützwand als Massivwand;Naturstein-Stützwand;;107;Nein
S023;Napoleonsberg / Am Berg;Kornelimünster;B;Stützwand / entlang der B 258 - Grünfläche;Stützwand als Massivwand;Naturstein-Stützwand;;44;Ja
S023;Napoleonsberg / Am Berg;Kornelimünster;C;Stützwand / entlang der B258 - Treppe u. Auffahrt;Stützwand als Massivwand;Naturstein-Stützwand;;129;Nein
S024-G;Stützwand und Treppenanlage zum Napoleonsberg;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;42;Ja
S025;Inde / Napoleonsberg;Kornelimünster;1;Stützwand Napoleonsberg zwischen B046 und B045;Stützwand als Massivwand;Naturstein-Stützwand;;878;Nein
S025;Inde / Napoleonsberg;Kornelimünster;2;Stützwand Napoleonsberg zwischen B045 und B044;Stützwand als Massivwand;Naturstein-Stützwand;;547;Nein
S025;Inde / Napoleonsberg;Kornelimünster;3;Stützwand Napoleonsberg zwichen B044 und OD-Grenze;Stützwand als Massivwand;Naturstein-Stützwand;;220;Nein
S025;Inde / Napoleonsberg;Kornelimünster;4;Stützwand Abteigarten zwischen B045 und;Natursteinwand - statisch gesamtheitlich tragend;Schwergewichtsmauer aus Natursteinen;;106;Nein
S025;Inde / Napoleonsberg;Kornelimünster;5;Stützwand Korneliusmarkt zw. B045 und Haus-Nr.2;Natursteinwand - statisch gesamtheitlich tragend;Schwergewichtsmauer aus Natursteinen;;16;Nein
S026;Stützwand an Treppenanlage Napoleonsberg;Kornelimünster;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;1982;53;Nein
S027;Dorffer Straße I / Ehrenmal;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;1961;119;Nein
S028;Promenade I;Kornelimünster;A;Stützwand / Promenade;Stützwand als Massivwand;Naturstein-Stützwand;;308;Nein
S028;Promenade I;Kornelimünster;B;Stützwand / Einfahrt Rohlandfabrik;Stützwand als Massivwand;Naturstein-Stützwand;;25;Nein
S028;Promenade I;Kornelimünster;C;Stützwand / Promenade oben;Stützwand als Massivwand;Naturstein-Stützwand;;3;Ja
S028;Promenade I;Kornelimünster;D;Stützwand / Ecke Promenade/Dorffer Str.;Stützwand als Massivwand;Naturstein-Stützwand;;6;Ja
S029;Schinkelstraße;Aachen;A;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;953;Nein
S029;Schinkelstraße;Aachen;B;Stützwand / an Treppenanlage;Stützwand als Massivwand;Stahlbeton-Stützwand;2009;24;Nein
S030;Rödgener Straße;Eilendorf;A;Stützwand / Bachseite;Stützwand als Massivwand;Stahlbeton-Winkelstützwand;1986;187;Ja
S030;Rödgener Straße;Eilendorf;B;Stützwand / andere Straßenseite;Stützwand als Massivwand;Stahlbeton-Winkelstützwand;1986;52;Ja
S031;Inde / Abteigarten;Kornelimünster;A;Stützwand / auf der Seite der Abtei;Stützwand als Massivwand;Naturstein-Stützwand;;273;Nein
S031;Inde / Abteigarten;Kornelimünster;B;Stützwand / auf der Seite Napoleonsberg;Stützwand als Massivwand;Naturstein-Stützwand;;250;Nein
S031;Inde / Abteigarten;Kornelimünster;C;Stützwand / oben auf der Seite Napoleonsberg;Stützwand als Massivwand;Naturstein-Stützwand;;4;Ja
S031;Inde / Abteigarten;Kornelimünster;D;Stützwand / Weg zum Klauser Wäldchen;Stützwand als Massivwand;Betonwand mit Verblendung aus Naturstein;;9;Ja
S032;Buschstraße;Freund;;Stützwand;Stützwand als Massivwand;Stahbeton-Stützwand;;88;Ja
S033;Heidchenberg;Hahn;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;20;Nein
S034;Frankensteg I;Kornelimünster;;Stützwand / oben;Stützwand als Massivwand;Naturstein-Stützwand;;21;Nein
S035;Schulberg I;Kornelimünster;A;Stützwand / entlang des Weges;Stützwand als Massivwand;Naturstein-Stützwand;;76;Ja
S035;Schulberg I;Kornelimünster;B;Stützwand / oben;Stützwand als Massivwand;Naturstein-Stützwand;;39;Nein
S036;Weberstraße / Mariabrunnstraße;Aachen;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;237;Nein
S037-G;Dorffer Straße III / Friedhof;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;69;Nein
S038;Schleidener Straße;Walheim;A;Stützwand / Bushaltestelle;Stützwand als Massivwand;Stahlbeton Stützwand;;14;Ja
S038;Schleidener Straße;Walheim;B;Stützwand;Stützwand als Massivwand;Ziegelstein-Stützwand;;16;Ja
S039;Freiherrenstraße;Richterich;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;19;Nein
S040;Steinkaulplatz;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;58;Nein
S041;Moreller Weg;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;1972;48;Nein
S042;Schönauer Allee;Richterich;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;17;Ja
