Bauwerks-Nr.:;Bauwerksname:;Ort:;Teilbauwerks-Nr.:;Teilbauwerksname:;Bauwersart:;Bauwerkskonstruktion:;Baujahr:;Fäche:               [m²];Anderes Bauwerk nach DIN 1076:
S043;Eupener Straße I;Steinebrück;;Stützwand / Fahrtrichtung Belgien;Stützwand als Massivwand;Stahlbeton-Stützwand mit Natursteinverblendung;1967;216;Nein
S044;Unter den Weiden;Kornelimünster;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand mit Natursteinverblendung;;81;Nein
S045;Marienstraße;Eilendorf;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;52;Nein
S046;Preusweg Nr.68;Aachen;;Stützwand / Haus Nr.68;Stützwand als Massivwand;Stahlbeton-Stützwand;;46;Nein
S047;Kurbrunnenstraße / Jägerstraße;Burtscheid;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand mit Grünfläche;;29;Nein
S048;Niederforstbacher Straße;Niederforstbach;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;1993;10;Ja
S049;Lemierser Berg II;Lemiers;;Stützwand / L-Steine;Stützwand als Massivwand;Stahlbeton-L-Steine;;15;Ja
S050;Severinstraße;Eilendorf;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;26;Nein
S051;Von-Coels-Sraße I;Eilendorf;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;24;Ja
S052;Vaalser Straße I;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;166;Nein
S053;Lemierser Berg I;Orsbach;;Stützwand / Trockenmauerwerk;Stützwand als Massivwand;Naturstein Trockenmauerwerk;1997;56;Ja
S054;Schraungracht;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Trockenmauer;;18;Nein
S055;Albert-Einstein Straße / Hohlgradweg;Walheim;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;4;Ja
S056;Schurzelter Straße;Laurensberg;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;73;Ja
S057;Senserbachweg II;Vaalserquartier;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;28;Ja
S058-G;Hochgrundhaus;Aachen;;Stützwand;Stützwand als Massivwand;Kunststein-Stützwand;;92;Nein
S059;Junkerstraße II;Aachen;;Stützwand / oben;Stützwand als Massivwand;Stahlbeton-Stützwand;;17;Ja
S060;Vaalser Straße II;Steppenberg;A;Stützwand / Pflanztröge / FR Aachen;Raumgitterwand mit Betonfertigteil;Pflanztröge;;248;Nein
S060;Vaalser Straße II;Steppenberg;B;Stützwand / Pflanztröge / FR Vaals;Raumgitterwand mit Betonfertigteil;Pflanztröge;;122;Nein
S061;Rudolf-Schwarz-Weg;Rothe Erde;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;47;Nein
S062;Junkerstraße I;Aachen;;Stützwand / unten;Stützwand als Massivwand;Stahlbeton-Stützwand;;401;Nein
S063;Eupener Straße II;Steinebrück;;Stützwand / Fahrtrichtung Aachen;Stützwand als Massivwand;Stahlbeton-Stützwand mit Natursteinverblendung ?;1967;76;Ja
S064;Rathausstraße;Laurensberg;A;Stützwand / Gabionen;Stützwand, Drahtgitterkörbe mit Steinfüllung (Gabione);EBECO-Korbsystem;1996;67;Nein
S064;Rathausstraße;Laurensberg;B;Stützwand / entlang des Geh- und Radwegs;Stützwand als Massivwand;Stahbeton-Stützwand;1996;43;Ja
S065;Schulberg II;Kornelimünster;;Stützwand / Gabionen;Stützwand, Drahtgitterkörbe mit Steinfüllung (Gabione);Gabionen;2006;13;Nein
S066;Bechheimer Bach II;Hahn;;Stützwand / Dorfstraße;Stützwand als Massivwand;Stahlbeton-Stützwand;;33;Nein
S067;Am Bach;Eilendorf;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;90;Nein
S068;Junkerstraße III;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;135;Nein
S069;Hubertusplatz;Aachen;;Stützwand;Stützbauwerk als Stützwand;Beton-Stützwand;;62;Ja
S070-G;Ehrenmal Hahn;Hahn;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;51;Nein
S071;Napoleonsberg / Unter den Weiden;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;8;Ja
S072;Von-Coels-Straße II;Eilendorf;;Stützwand / entlang den Häusern  Nr. 295-299;Stützwand als Massivwand;Naturstein-Stützwand;;19;Ja
S073;Preusweg Nr.100;Aachen;;Stützwand / Haus Nr.100;Stützwand als Massivwand;Stahlbeton-Stützwand;;11;Ja
S074;Auf dem Foerbrich;Eilendorf;A;Stützwand / vorne;Stützwand;Stahlbeton L-Mauerscheiben;2007;18;Ja
S074;Auf dem Foerbrich;Eilendorf;B;Stützwand / in der Kurve;Stützwand;Stahlbeton-Stützwand;1998;6;Ja
S075;Dorffer Straße II;Kornelimünster;;Stützwand;Stützwand;Naturstein-Stützwand;1961;57;Ja
S076;Roder Weg;Richterich;;Stützwand;Stützwand;Beton L-Steine;;35;Nein
S077;Ürsfeld Bahnunterführung;Ürsfeld;;Stützwand;Stützwand;Stahlbeton Mauerscheiben;;75;Ja
S078;Heinrich-Lehmann-Platz;Richterich;;Stützwand;Stützwand;Naturstein-Stützwand/Palisaden;;106;Nein
S079;Seilgraben;Aachen;;Stützwand;Stützbauwerk als Stützwand;Steinmauer;;15;Ja
S080;Weg zur Klause;Kornelimünster;;Stützwand;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;44;Nein
S081;Orsbacher Straße;Laurensberg;;Stützwand;Stützwand;Beton-Palisaden;;20;Ja
S082;Klauser Str.;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;174;Nein
S083;Frankensteg II;Kornelimünster;;Sützwand / unten;Stützwand als Massivwand;Naturstein-Stützwand;;30;Ja
S085;Oberforstbacher Straße II;Kornelimünster;;Stützwand;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;33;Nein
S086;Haltestelle Napoleonsberg;Kornelimünster;;Stützwand;Stützwand;Beton-L-Steine;;290;Ja
S087;Vennbahnweg;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;11;Nein
S088;Hahner Straße neben Haus Nr.10;Hahn;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;9;Ja
S089;Schmithofer Straße I;Schmithof;;Stützwand;Stützwand;Beton L-Steine;;5;Ja
S090;Schleckheimer Straße;Schleckheim;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;95;Ja
S091;Friedenstraße;Haaren;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;37;Ja
S092;Alt Haarener Straße / Sackgasse;Haaren;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;15;Ja
S093;Nirmer Straße;Eilendorf;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;35;Nein
S094;Eilendorfer Straße;Brand;;Stützwand;Stützwand als Massivwand;Stahlbeton-Mauerscheiben;;81;Ja
S095;Junkerstraße IV;Aachen;;Stützwand / Haltestelle Turmstraße;Stützwand;Beton L-Steine;;11;Ja
S096;Bastei;Aachen;A;Stützwand / Ludwigsallee;Stützwand;Naturstein-Stützwand;;5;Ja
S096;Bastei;Aachen;B;Stützwand / Ecke Ludwigsallee - Krefelder Str.;Stützwand;Stahlbeton-Stützwand;;40;Ja
S097-G;An der Schanz;Aachen;;Stützwand;Stützwand;Natursteinwand-Stützwand;;46;Ja
S098-G;Westpark;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton Mauer-Scheiben;;15;Ja
S099-G;Langer Turm;Aachen;A;Stützwand / Junkerstraße;Stützwand;Stahlbeton-Stützwand;;226;Ja
S099-G;Langer Turm;Aachen;B;Stützwand / Turmstraße;Stützwand;Stahlbeton-Stützwand;;115;Nein
S099-G;Langer Turm;Aachen;C;Stützwand / an der Treppe und Terrasse;Stützwand;Stahlbeton-Stützwand;;43;Nein
S099-G;Langer Turm;Aachen;D;Stützwand / am Turm;Stützwand;Stahlbeton-Stützwand;;49;Ja
S100;Turmstraße Ecke Melatener Str.;Aachen;;Stützwand;Stützwand;Stahlbeton-Stützwand;;51;Ja
S101-G;Ehrenmal-Saarstraße;Aachen;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;124;Nein
S102-G;Kupferstraße I;Aachen;A;Stützwand / Salvatorberg;Stützwand als Massivwand;Naturstein-Stützwand;;179;Nein
S102-G;Kupferstraße I;Aachen;B;Treppe /Salvatorberg;Stützwand als Massivwand;Naturstein-Stützwand;;36;Ja
S103-G;Kupferstraße II;Aachen;;Stützwand / Lousberg;Stützwand;Naturstein-Stützwand;;56;Ja
S104-G;Belvedereallee III;Aachen;A;Stützwand / Stahlbetonwand am Denkmal;Stützwand als Massivwand;Stahlbeton-Stützwand;;16;Ja
S104-G;Belvedereallee III;Aachen;B;Stützwand / Natursteinwand am Dekmal;Stützwand als Massivwand;Naturstein-Stützwand;;32;Ja
S105;Buchenallee I;Aachen;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;28;Ja
S106;Buchenallee II;Aachen;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;151;Ja
S107;Buchenallee III;Aachen;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;124;Ja
S108;Buchenallee IV;Aachen;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;87;Ja
S109-G;Belvedereallee I;Aachen;;Stützwand / Fußweg nach oben;Stützwand als Massivwand;Naturstein-Stützwand;;21;Ja
S110-G;Belvedereallee II;Aachen;;Stützwand / Ausweichbucht;Stützwand als Massivwand;Stahlbeton-Stützwand;;22;Ja
S111-G;Hangeweiher I;Aachen;;Stützwand / Podest Freibadseite;Stützwand als Massivwand;Naturstein-Stützwand;;14;Ja
S112-G;Hangeweiher II;Aachen;;Stützwand / Park;Stützwand als Massivwand;Naturstein-Stützwand;;8;Ja
S113-G;Hangeweiher III;Aachen;A;Stützwand / Grotte;Stützwand als Massivwand;Naturstein-Stützwand;;19;Ja
S113-G;Hangeweiher III;Aachen;B;Stützwand / Rondell;Stützwand als Massivwand;Naturstein-Stützwand;;13;Ja
S114;Hohenstaufenallee;Aachen;;Stützwand;Stützwand;Naturstein-Stützwand;;30;Nein
S115;"Westfriedhof ""I""";Steppenberg;;Stützwand / Pflanztröge;Raumgitterwand;Pflanztröge aus Stahlbeton-Fertigteilen;;336;Nein
S116;"Westfriedhof ""II""";Königshügel;A;Stützwand / Zugang Friedhof;Stützwand;Stahlbeton-Stützwand;;47;Ja
S116;"Westfriedhof ""II""";Königshügel;B;Stützwand / Pflanztröge;Raumgitterwand;Pflanztröge aus Stahlbeton-Fertigteilen;;261;Nein
S116;"Westfriedhof ""II""";Königshügel;C;Stützwand / Bleiberger Straße I;Stützwand;Stahlbeton-Stützwand;;309;Nein
S116;"Westfriedhof ""II""";Königshügel;D;Stützwand / Bleiberger Straße II;Stützwand als Massivwand;Stahlbeton;;229;Ja
S117-G;Monheimsallee alter Evangelischer Friedhof;Aachen;;Stützwand;Stützwand;Ziegelmauer-Stützwand;;61;Nein
S118-G;Stadtgarten I;Aachen;;Stützwand / KITA Paßstraße;Stützwand als Massivwand;Ziegelmauer-Stützwand;;253;Nein
S119;Aachener Straße 212-226;Schleckheim;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;63;Ja
S120-G;Farwickpark Teich;Aachen;A;Stützwand / rechts;Stützwand;Naturstein-Stützwand;;67;Ja
S120-G;Farwickpark Teich;Aachen;B;Stützwand / hinter dem Teich;Stützwand;Naturstein-Stützwand;;40;Ja
S120-G;Farwickpark Teich;Aachen;C;Stützwand / links;Stützwand;Naturstein-Stützwand;;58;Ja
S121-G;Stadtgarten III;Aachen;;Stützwand / Tummelwiese;Stützwand;Stahlbeton-Stützwand;;82;Nein
S122-G;Stadtgarten IV;Aachen;;Stützwand / Terrassen;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;362;Nein
S123-G;Stadtgarten V;Aachen;;Stützwand / Rosengarten;Stützwand als Massivwand;Naturstein-Stützwand;;38;Nein
S124-G;Stadtgarten VI;Aachen;;Stützwand / Eingang Ungarnplatz;Stützwand als Massivwand;Kunst- und Naturstein-Stützwand;;150;Ja
S125;Ungarnplatz;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand mit Ziegelmauer-Verblendung;;86;Nein
S126;Kasinostraße;Aachen;;Stützwand;Stützwand;Stahlbeton-Stützwand;;25;Nein
S127;Kurbrunnenstraße;Aachen;;Stützwand;Stützwand;Stahlbeton-Stützwand;;12;Ja
S128-G;Kurparkterrassen;Burtscheid;A;Stützwand / Dammstraße;Stützwand als Massivwand;Naturstein-Stützwand;;26;Ja
S128-G;Kurparkterrassen;Burtscheid;B;Stw. / Terrasse oben / Karlstreppe-Michaelstreppe;Stützwand als Massivwand;Naturstein-Stützwand;;84;Ja
S128-G;Kurparkterrassen;Burtscheid;C;Michaelstreppe;Treppe;Naturstein-Treppe mit Feldbrandstein-Wange;;30;Ja
S128-G;Kurparkterrassen;Burtscheid;D;Stw. / Terrasse oben / Michaelstreppe-Michaelsberg;Stützwand als Massivwand;Naturstein-Stützwand;;52;Ja
S128-G;Kurparkterrassen;Burtscheid;E;Stützwand / Michaelsbergstraße;Stützwand als Massivwand;Ziegelstein-Stützwand;;69;Nein
S128-G;Kurparkterrassen;Burtscheid;F;Stützwand / Terrasse unten / Marktseite;Stützwand als Massivwand;Naturstein-Stützwand;;83;Nein
S128-G;Kurparkterrassen;Burtscheid;G;Stützwand / Terrasse unten / Mitte;Stützwand als Massivwand;Naturstein-Stützwand;;209;Nein
S128-G;Kurparkterrassen;Burtscheid;H;Stützwand / Zwischenpodest Michaelstreppe;Stützwand als Massivwand;Naturstein-Stützwand;;4;Ja
S128-G;Kurparkterrassen;Burtscheid;I;Stützwand / Bänke unten;Stützwand als Massivwand;Naturstein-Stützwand;;20;Ja
S128-G;Kurparkterrassen;Burtscheid;J;Stützwand / Terrasse am Brunnen;Stützwand als Massivwand;Naturstein-Stützwand;;86;Nein
S128-G;Kurparkterrassen;Burtscheid;K;Stützwand / am Brunnen;Stützwand als Massivwand;Naturstein-Stützwand;;16;Ja
S129;Klostertreppe;Burtscheid;;Stützwand / Treppe;Stützwand als Massivwand;Naturstein-Stützwand;;10;Nein
S130;Michaelsbergstraße;Burtscheid;;Stützwand;Stützwand;Ziegelmauer-Stützwand;1810;322;Nein
S131;Kapellenstraße I;Burtscheid;;Stützwand / unten;Stützwand;Naturstein-Stützwand;;37;Ja
S132;Wingertsberggasse;Burtscheid;A;Stützwand / Parkplatz;Stützbauwerk als Stützwand;Stahlbeton-Stützwand;;31;Nein
S132;Wingertsberggasse;Burtscheid;B;Stützwand / Treppe;Stützwand;Ziegelmauer-Stützwand;;6;Nein
S133;Hauptstraße;Burtscheid;;Stützwand;Stützwand;Stahlbeton-Stützwand;;44;Nein
S134-G;Moltkeschule;Aachen;;Gabionen;Stützwand, Drahtgitterkörbe mit Steinfüllung (Gabione);;;125;Nein
S135-G;Stauanlage Kupferbach;Aachen;A;Stützwand / Podest vorne;Stützwand als Massivwand;Naturstein-Stützwand;;96;Nein
S135-G;Stauanlage Kupferbach;Aachen;B;Stützwand / Podest hinten;Stützwand als Massivwand;Naturstein-Stützwand;;42;Nein
S136;Schleidener Straße I / Bushaltestelle;Walheim;;Stützwand;Stützwand als Massivwand;Beton-Winkelsteine;;42;Ja
S137-G;Eschenallee;Brand;;Stützwand;Stützwand;Naturstein-Stützwand;;18;Ja
S138-G;Markplatz Brand;Brand;;Stützwand;Stützwand als Massivwand;Winkelstützelemente;2016;30;Ja
S139-G;Lärmschutzwall Brand;Brand;;Gabionen;Stützwand, Drahtgitterkörbe mit Steinfüllung (Gabione);;;60;Ja
S140;Buchenallee V;Aachen;;Stützwand;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;913;Nein
S141-G;Friedhof St. Severin II;Eilendorf;A;Stützwand / Natursteinwand außen;Stützwand;Naturstein-Stützwand;;61;Nein
S141-G;Friedhof St. Severin II;Eilendorf;B;Stützwand / Naturstein- und Ziegelwand außen;Stützwand;Naturstein-Stützwand;;38;Ja
S142-G;Friedhof St. Severin III;Eilendorf;;Stützwand / an der Kirche;Stützwand;Naturstein-Stützwand;;126;Nein
S143-G;Friedhof Nirm;Eilendorf;A;Stützwand / Eingang Birkstraße und Terrassen;Stützwand;Naturstein-Stützwand;;11;Ja
S143-G;Friedhof Nirm;Eilendorf;B;Stützwand / innen;Stützwand;Naturstein-Stützwand;;62;Ja
S143-G;Friedhof Nirm;Eilendorf;C;Stützwand / Eingang Nirmer Straße;Stützwand;Naturstein-Stützwand;;55;Ja
S144-G;Friedhof Haaren;Haaren;A;Stützwand / Stahlbetonwand außen;Stützwand;Stahlbeton-Stützwand;;45;Nein
S144-G;Friedhof Haaren;Haaren;B;Stützwand / Mauerwerk außen;Stützwand;Verputztes Mauerwerk;;49;Nein
S144-G;Friedhof Haaren;Haaren;C;Stützwand / Natursteinwand innen;Stützwand;Naturstein-Stützwand;;12;Ja
S145-G;Ehrenmal Haaren;Haaren;;Stützwand;Stützwand;Naturstein-Stützwand;;53;Nein
S146;Berliner Ring;Aachen;;Stützwand;Stützbauwerk als Stützwand;Mauerscheiben;;9;Ja
S147-G;Bergfriedhof;Kornelimünster;;Stützwand;Stützwand;Naturstein-Wand;;153;Nein
S148-G;Promenade II;Kornelimünster;;Stützwand / am Teich;Stützwand als Massivwand;Naturstein-Stützwand;;125;Nein
S149-G;Friedhof Hahn;Hahn;A;Stützwand / Stahlbetonwand außen;Stützwand als Massivwand;Stahlbeton-Stützwand;;14;Ja
S149-G;Friedhof Hahn;Hahn;B;Stützwand ;Stützwand als Massivwand;Stahlbeton-Stützwand/Treppe;;15;Nein
S149-G;Friedhof Hahn;Hahn;C;Stützwand / Natursteinwand außen;Stützwand;Naturstein-Stützwand;;63;Nein
S150-G;Oberdorfstraße;Horbach;;Stützwand;Stützwand;Naturstein/Stahlbeton-Stützwand;;49;Ja
S151-G;Friedhof Friesenrath;Friesenrath;A;Stützwand / außen;Stützwand;Naturstein-Stützwand;;69;Ja
S151-G;Friedhof Friesenrath;Friesenrath;B;Stützwand / Terrassen;Stützwand;Naturstein-Stützwand;;83;Ja
S152-G;Von-Coels-Straße / Heckstraße;Eilendorf;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;18;Ja
S153-G;Friedhof Horbach;Horbach;;Stützwand;Stützwand;Naturstein (Beton?)-Stützwand;;41;Ja
S154-G;Friedhof Orsbach;Orsbach;;Stützwand;Stützwand;Stahlbeton- und Naturstein-Stützwand;;103;Nein
S155;Laurentiusstraße I;Laurensberg;;Stützwand / gegenüber Seniorenhaus;Stützwand;Beton L-Steine;;6;Ja
S156-G;Friedhof Laurensberg;Laurensberg;A;Stützwand / außen;Stützwand;Naturstein-Stützwand;;283;Nein
S156-G;Friedhof Laurensberg;Laurensberg;B;Stützwand / innen;Stützwand als Massivwand;Naturstein-Stützwand;;8;Ja
S156-G;Friedhof Laurensberg;Laurensberg;C;Stützwand / innen - Mitte;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;12;Ja
S156-G;Friedhof Laurensberg;Laurensberg;D;Stützwand / innen - an Treppe;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;3;Ja
S156-G;Friedhof Laurensberg;Laurensberg;E;Stützwand / innen - zum Seiteneingang;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;34;Ja
S156-G;Friedhof Laurensberg;Laurensberg;F;Stützwand / innen - hinter Gebäude;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;35;Nein
S156-G;Friedhof Laurensberg;Laurensberg;G;Stützwand / innen - vor Gebäude;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;15;Nein
S156-G;Friedhof Laurensberg;Laurensberg;H;Stützwand / innen - oben;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;334;Nein
S157;Parkstraße / Schönauer Pfad;Richterich;A;Stützwand / Beton-Palisaden;Stützwand;Beton-Palisaden;;22;Ja
S157;Parkstraße / Schönauer Pfad;Richterich;B;Stützwand / Naturstein;Stützwand;Naturstein-Stützwand;;10;Ja
S157;Parkstraße / Schönauer Pfad;Richterich;C;Stützwand / Beton L-Steine;Stützwand;Beton L-Steine;;11;Ja
S158;Kellershaustraße;Eilendorf;;Stützwand;Stützwand als Massivwand;Stahlbeton-Mauerscheiben;2007;24;Ja
S159;Vaalser Straße III;Steppenberg;;Stützwand / Blumen Nicolaye;Stützwand;Beton-L-Steine;;34;Ja
S160-G;Stadtgarten VII;Aachen;;Stützwand / am Lenné Pavillon;Stützwand als Massivwand;Naturstein-Stützwand;;54;Ja
S161-G;Stadtgarten VIII;Aachen;A;Stützwand / oberhalb vom Spielkasino;Stützwand als Massivwand;Naturstein-Stützwand;;75;Ja
S161-G;Stadtgarten VIII;Aachen;B;Treppe / oberhalb vom Spielkasino;Stützbauwerk als Stützwand;Naturstein-Stützwand am Treppenaufgang;;11;Ja
S161-G;Stadtgarten VIII;Aachen;C;Stützwand / Rondell oberhalb vom Spielkasino;Stützbauwerk als Stützwand;Naturstein-Stützwand;;16;Ja
S162-G;Stadtgarten IX;Aachen;A;Stützwand / Natursteinwand oberhalb vom Eurogess;Stützbauwerk als Stützwand;Naturstein-Stützwand;;12;Ja
S162-G;Stadtgarten IX;Aachen;B;Stützwand / Naturbordsteine;Stützbauwerk als Hang-/Felssicherung;Stützwand aus Naturbordsteine;2012;13;Ja
S163;Saarstraße / Sandkaulstraße;Aachen;;Stützwand;Stützbauwerk als Stützwand;Naturstein-Stützwand;;9;Ja
S164;Muffeter Weg I;Aachen;;Stützwand / Beton-Palisaden;Stützwand als Massivwand;Beton-Palisaden;;25;Ja
S165;Muffeter Weg II;Aachen;;Stützwand / bis Haus-Nr. 8;Stützwand als Massivwand;Stahlbeton-Stützwand;;218;Nein
S166;Muffeter Weg III;Aachen;;Stützwand / von Haus-Nr. 36 bis Am Hügel;Stützwand als Massivwand;Stahlbeton-Stützwand;;343;Nein
S167;Muffeter Weg IV;Aachen;;Stützwand / von Am Hügel bis vor Haus Nr. 46;Stützwand als Massivwand;Stahlbeton-Stützwand;;515;Nein
S168;Kapellenstraße II;Burtscheid;A;"Stützwand / vor Einfahrt ""Soziale Frauenschule""";Stützwand als Massivwand;Stahlbeton-Stützwand;;24;Ja
S168;Kapellenstraße II;Burtscheid;B;"Stützwand / hinter Einfahrt ""Soziale Frauenschule""";Stützwand als Massivwand;Stahlbeton-Stützwand;;189;Nein
S168;Kapellenstraße II;Burtscheid;C;Stützwand / unten;Stützwand als Massivwand;Stahlbeton-Stützwand;;69;Ja
S169-G;Heißbergfriedhof;Burtscheid;A;Stützwand Robert-Schumann-Str.;Stützwand als Massivwand;Naturstein-Stützwand;;266;Nein
S169-G;Heißbergfriedhof;Burtscheid;B;Stützwand Eingang Friedhof;Stützwand als Massivwand;Naturstein-Stützwand;;30;Nein
S170;Siegel;Siegel;;Stützwand;Stützwand als Massivwand;Beton-L-Steine;;14;Ja
S171;Vaalser Straße IV;Vaalserquatier;A;Stützwand / Abzweig Alte Vaalser Str. / L-Steine;Stützwand als Massivwand;Beton-L-Steine;;28;Ja
S171;Vaalser Straße IV;Vaalserquatier;B;Stützwand / Abzweig Alte Vaalser Str. / Stahlbeton;Stützwand als Massivwand;Stahlbeton-Stützwand;;49;Nein
S172;Hahner Straße / Bushaltestelle;Hahn;;Stützbauwerk;Stützwand als Massivwand;Mauerscheiben;;11;Ja
S173;Kapellenberg;Kornelimünster;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;79;Nein
S174;Eupener Straße III;Aachen;;Stützwand / Sportplatz;Stützwand als Massivwand;Stahlbeton-Stützwand;;229;Nein
S175;Brüsseler Ring;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;28;Ja
S176;Krähenwäldchen;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton;;60;Nein
S177;Hochbrück;Aachen;;Stützwand;Stützwand als Massivwand;Beton-Palisaden;;28;Ja
S178;Albert-Einstein-Straße;Walheim;;Stützwand;Stützwand als Massivwand;Beton-Pflanzkübel;2008;29;Nein
S179;Bleiberger Straße;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton;;9;Ja
S180;Weststraße;Aachen;;Stützwand;Stützwand als Massivwand;Mauerscheiben;;18;Ja
S181;Passstraße;Aachen;;Stützwand;Stützwand als Massivwand;Naturstein-Stützwand;;32;Ja
S182;Lütticher Straße;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;20;Nein
S183;Seffenter Weg;Hörn;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;78;Nein
S184-G;Lousberg;Aachen;A;Stützwand / Weg zur Buchenallee;Stützwand als Massivwand;Naturstein-Stützwand;;29;Ja
S184-G;Lousberg;Aachen;B;Stützwand / Weg-Kreuzung West;Stützwand als Massivwand;Naturstein-Stützwand;;7;Ja
S184-G;Lousberg;Aachen;C;Stützwand / Lange Wand;Stützwand als Massivwand;Naturstein-Stützwand;;221;Ja
S184-G;Lousberg;Aachen;D;Stützwand / Ausbuchtung für Bank oben;Stützwand als Massivwand;Naturstein-Stützwand;;2;Ja
S184-G;Lousberg;Aachen;E;Stützwand / Weg von Belvederallee nach unten I;Stützwand als Massivwand;Naturstein-Stützwand;;40;Ja
S184-G;Lousberg;Aachen;F;Stützwand / Weg-Gabelung I unterh. Belvederallee;Stützwand als Massivwand;Naturstein-Stützwand;;56;Ja
S184-G;Lousberg;Aachen;G;Stützwand / Weg-Gabelung II unterh. Belvederalle;Stützwand als Massivwand;Naturstein-Stützwand;;5;Ja
S184-G;Lousberg;Aachen;H;Stützwand / Weg-Gabelung III unterh. Belvederallee;Stützwand als Massivwand;Naturstein-Stützwand;;9;Ja
S184-G;Lousberg;Aachen;I;Stützwand / Betonwand Belvederallee;Stützwand als Massivwand;Stahlbeton-Stützwand;;7;Ja
S184-G;Lousberg;Aachen;J;Stützwand / 4 Ausbuchtungen für Bänke;Stützwand als Massivwand;Naturstein-Stützwand;;19;Ja
S184-G;Lousberg;Aachen;K;Stützwand / von Belvederallee Weg nach unten II;Stützwand als Massivwand;Naturstein-Stützwand;;10;Ja
S184-G;Lousberg;Aachen;L;Stützwand Buchenallee VI / gegenüber Müschpark;Stützwand als Massivwand;Natursteinmauer;;14;Ja
S184-G;Lousberg;Aachen;M;Stützwand Buchenallee VII / gegenüber Terrasse;Stützwand als Massivwand;Trockenmauer aus Natursteinen;;38;Ja
S184-G;Lousberg;Aachen;N;Stützwand unterhalb Belvederallee / Süd;Stützwand als Massivwand;Trockenmauer aus Natursteinen;;17;Ja
S185;Schillerstraße;Aachen;;Stützwand;Stützwand als Massivwand;Stahlbeton-Stützwand;;19;Nein
S186-G;Stadtgarten XI;Aachen;;Stützwand / am Tennisplatz;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;9;Ja
S187-G;Friedhof Richterich;Richterich;;Stützwand;Stützwand als Massivwand;Kunststein-Stützwand;;90;Ja
S188-G;Europaplatz;Aachen;;Stützwand;Natursteinwand - statisch gesamtheitlich tragend;Naturstein-Stützwand;;205;Ja
S189;Lindenweg;Aachen, Stadtteil Haaren;;Stützwand Lindenweg;Stützwand als Massivwand;Stahlbeton-Massivwand;;129;Nein
S190;Obere Drimbornstraße;Aachen;A;Stützwand / links;Stützwand als Massivwand;Stahlbeton-Stützwand;;119;Nein
